Codigo;Regiao;UF;Municipio;2005_educacao_nota;2005_educacao_ranking;2006_educacao_nota;2006_educacao_ranking;2007_educacao_nota;2007_educacao_ranking;2008_educacao_nota;2008_educacao_ranking;2009_educacao_nota;2009_educacao_ranking;2010_educacao_nota;2010_educacao_ranking;2011_educacao_nota;2011_educacao_ranking;2012_educacao_nota;2012_educacao_ranking;2013_educacao_nota;2013_educacao_ranking
110001;Norte;RO;Alta Floresta D'Oeste;0.5992;2368;0.6014;2398;0.6214;3019;0.6227;3059;0.6481;3113;0.6471;3466;0.6828;3273;0.6329;4102;0.7550;2795
110002;Norte;RO;Ariquemes;0.5369;3097;0.5367;3151;0.6035;3258;0.6200;3087;0.6440;3168;0.6798;3000;0.7097;2891;0.7606;2214;0.7904;2140
110003;Norte;RO;Cabixi;0.6528;1718;0.6669;1605;0.6609;2430;0.6788;2188;0.6574;2977;0.6916;2806;0.7414;2372;0.7462;2473;0.7687;2542
110004;Norte;RO;Cacoal;0.6097;2226;0.6146;2243;0.6203;3042;0.6192;3099;0.6468;3130;0.6751;3063;0.7041;2969;0.7169;2953;0.8080;1834
110005;Norte;RO;Cerejeiras;0.6359;1942;0.6332;2027;0.6806;2141;0.6865;2059;0.7181;2043;0.7403;2012;0.7404;2388;0.7308;2713;0.7548;2800
110006;Norte;RO;Colorado do Oeste;0.6239;2063;0.6476;1832;0.6689;2303;0.6986;1868;0.7081;2214;0.7139;2451;0.7229;2676;0.7286;2748;0.7744;2457
110007;Norte;RO;Corumbiara;0.4732;3794;0.4265;4322;0.4965;4431;0.5439;4102;0.5994;3783;0.6090;3966;0.6398;3883;0.6570;3771;0.6540;4207
110008;Norte;RO;Costa Marques;0.5386;3079;0.5174;3383;0.5913;3411;0.6104;3207;0.6409;3207;0.6595;3306;0.6726;3406;0.6082;4403;0.6541;4204
110009;Norte;RO;Espigão D'Oeste;0.5724;2673;0.5360;3159;0.5883;3447;0.6301;2952;0.6799;2628;0.6788;3012;0.6838;3258;0.7040;3135;0.7536;2816
110010;Norte;RO;Guajará-Mirim;0.5461;2984;0.5214;3333;0.5283;4138;0.5801;3624;0.6049;3709;0.6148;3893;0.6367;3930;0.6252;4201;0.6643;4072
110011;Norte;RO;Jaru;0.4975;3514;0.4813;3778;0.6015;3280;0.6314;2929;0.6579;2968;0.6885;2850;0.6970;3068;0.6962;3248;0.7193;3326
110012;Norte;RO;Ji-Paraná;0.6080;2256;0.5897;2546;0.6136;3131;0.6260;2999;0.6487;3096;0.6558;3354;0.6784;3325;0.6866;3377;0.7244;3251
110013;Norte;RO;Machadinho D'Oeste;0.3381;4933;0.3328;4985;0.4983;4411;0.5191;4392;0.5866;3923;0.5699;4406;0.5851;4520;0.5973;4518;0.6598;4125
110014;Norte;RO;Nova Brasilândia D'Oeste;0.5285;3192;0.5193;3358;0.5868;3463;0.6249;3015;0.6599;2937;0.6690;3152;0.7123;2851;0.7152;2977;0.7847;2256
110015;Norte;RO;Ouro Preto do Oeste;0.5452;2997;0.5187;3366;0.5942;3373;0.6393;2806;0.6651;2845;0.7032;2626;0.7203;2719;0.7272;2775;0.7749;2450
110018;Norte;RO;Pimenta Bueno;0.6518;1729;0.6404;1929;0.6827;2099;0.6707;2321;0.7178;2051;0.7316;2152;0.7588;2071;0.7767;1937;0.7975;2006
110020;Norte;RO;Porto Velho;0.5655;2758;0.5658;2832;0.5989;3310;0.6179;3116;0.6418;3193;0.6474;3464;0.6439;3823;0.6591;3746;0.6909;3719
110025;Norte;RO;Presidente Médici;0.5560;2876;0.5475;3038;0.6156;3106;0.6370;2842;0.6806;2616;0.6835;2932;0.6895;3192;0.7153;2975;0.7732;2479
110026;Norte;RO;Rio Crespo;0.4627;3910;0.4291;4297;0.4817;4582;0.5773;3668;0.5969;3823;0.5770;4327;0.5593;4761;0.5470;4977;0.6324;4448
