Codigo;Regiao;UF;Municipio;2005_empregoRenda_nota;2005_empregoRenda_ranking;2006_empregoRenda_nota;2006_empregoRenda_ranking;2007_empregoRenda_nota;2007_empregoRenda_ranking;2008_empregoRenda_nota;2008_empregoRenda_ranking;2009_empregoRenda_nota;2009_empregoRenda_ranking;2010_empregoRenda_nota;2010_empregoRenda_ranking;2011_empregoRenda_nota;2011_empregoRenda_ranking;2012_empregoRenda_nota;2012_empregoRenda_ranking;2013_empregoRenda_nota;2013_empregoRenda_ranking
110001;Norte;RO;Alta Floresta D'Oeste;0.4418;2767;0.4698;2693;0.4121;3397;0.4556;2422;0.4310;3383;0.4819;2462;0.4428;3037;0.4499;3094;0.5103;2120
110002;Norte;RO;Ariquemes;0.6246;706;0.5999;1088;0.6124;872;0.6575;600;0.6919;466;0.6747;660;0.6529;788;0.6393;896;0.6954;466
110003;Norte;RO;Cabixi;0.3907;3692;0.3900;4185;0.3883;3928;0.4014;3350;0.4693;2714;0.3773;4316;0.4559;2838;0.4650;2838;0.3752;4374
110004;Norte;RO;Cacoal;0.6196;738;0.6430;803;0.6395;709;0.6174;809;0.6330;810;0.6851;607;0.6764;626;0.7353;336;0.4989;2290
110005;Norte;RO;Cerejeiras;0.5106;1723;0.4603;2865;0.4335;3011;0.4846;2023;0.5576;1474;0.5309;1773;0.4352;3161;0.6370;914;0.5193;1990
110006;Norte;RO;Colorado do Oeste;0.4780;2183;0.5254;1818;0.5074;1832;0.4551;2433;0.5085;2098;0.1866;5478;0.3749;4305;0.3614;4769;0.4982;2300
110007;Norte;RO;Corumbiara;0.4817;2118;0.4828;2449;0.3859;3985;0.4044;3290;0.4899;2357;0.4670;2679;0.4294;3260;0.4477;3135;0.4582;2906
110008;Norte;RO;Costa Marques;0.3657;4183;0.3724;4576;0.5230;1642;0.3376;4652;0.4765;2587;0.2608;5321;0.4848;2407;0.4227;3582;0.3283;4963
110009;Norte;RO;Espigão D'Oeste;0.5110;1720;0.4680;2723;0.5595;1280;0.4897;1948;0.5940;1110;0.4780;2520;0.5397;1724;0.5137;2166;0.4436;3155
110010;Norte;RO;Guajará-Mirim;0.3933;3636;0.4654;2767;0.4344;2990;0.4380;2692;0.4727;2652;0.4877;2363;0.5367;1753;0.5425;1812;0.4866;2461
110011;Norte;RO;Jaru;0.5858;983;0.5667;1374;0.5966;979;0.3950;3458;0.5401;1659;0.4853;2394;0.6447;841;0.5696;1514;0.6087;1070
110012;Norte;RO;Ji-Paraná;0.7474;163;0.7389;339;0.7256;302;0.6773;518;0.8040;64;0.7107;472;0.7453;296;0.7418;304;0.6659;634
110013;Norte;RO;Machadinho D'Oeste;0.4875;2037;0.4489;3057;0.4533;2648;0.3780;3858;0.3897;4214;0.4195;3510;0.3907;4006;0.4657;2829;0.3916;4068
110014;Norte;RO;Nova Brasilândia D'Oeste;0.4296;2970;0.3729;4568;0.1510;5498;0.4982;1854;0.3750;4556;0.4099;3696;0.2726;5261;0.4466;3153;0.3725;4435
110015;Norte;RO;Ouro Preto do Oeste;0.5253;1537;0.4768;2561;0.5593;1282;0.5132;1683;0.3451;5006;0.5312;1772;0.5692;1436;0.5839;1365;0.4516;3017
110018;Norte;RO;Pimenta Bueno;0.6638;522;0.6285;884;0.6560;621;0.6022;908;0.7356;255;0.7039;504;0.6341;905;0.7389;323;0.6952;471
110020;Norte;RO;Porto Velho;0.6751;465;0.7723;189;0.6570;617;0.7077;383;0.8743;05;0.8638;13;0.8279;44;0.7279;374;0.7134;382
110025;Norte;RO;Presidente Médici;0.4639;2399;0.3844;4297;0.4416;2842;0.4096;3192;0.5101;2081;0.4765;2539;0.4417;3055;0.4570;2972;0.4848;2491
