Codigo;Regiao;UF;Municipio;2005_geral_nota;2005_geral_ranking;2006_geral_nota;2006_geral_ranking;2007_geral_nota;2007_geral_ranking;2008_geral_nota;2008_geral_ranking;2009_geral_nota;2009_geral_ranking;2010_geral_nota;2010_geral_ranking;2011_geral_nota;2011_geral_ranking;2012_geral_nota;2012_geral_ranking;2013_geral_nota;2013_geral_ranking
110001;Norte;RO;Alta Floresta D'Oeste;0.5138;2996;0.5374;2986;0.5198;3642;0.5305;3611;0.5302;3968;0.5471;3897;0.5609;3911;0.5529;4228;0.6337;3255
110002;Norte;RO;Ariquemes;0.6093;1844;0.6125;2031;0.6488;1777;0.6743;1359;0.7047;1176;0.7198;1140;0.7301;1151;0.7457;1048;0.7746;727
110003;Norte;RO;Cabixi;0.5583;2525;0.5417;2940;0.5434;3311;0.5616;3166;0.5940;3056;0.5753;3494;0.6036;3281;0.6177;3277;0.5887;3927
110004;Norte;RO;Cacoal;0.6042;1921;0.6268;1815;0.6413;1892;0.6415;1882;0.6599;1959;0.6916;1541;0.7229;1230;0.7593;837;0.7111;1797
110005;Norte;RO;Cerejeiras;0.5323;2816;0.5289;3076;0.5259;3559;0.5470;3394;0.5906;3114;0.6144;2902;0.5872;3534;0.6425;2840;0.6137;3553
110006;Norte;RO;Colorado do Oeste;0.5661;2433;0.5604;2725;0.5573;3124;0.5527;3303;0.6081;2855;0.5059;4410;0.5798;3634;0.5735;3936;0.6473;3003
110007;Norte;RO;Corumbiara;0.4670;3480;0.4460;3971;0.4417;4565;0.4716;4372;0.5105;4216;0.5286;4125;0.5185;4447;0.5593;4150;0.5759;4107
110008;Norte;RO;Costa Marques;0.4607;3543;0.4607;3822;0.5338;3441;0.4960;4088;0.5406;3820;0.4975;4516;0.5987;3370;0.5862;3749;0.5626;4280
110009;Norte;RO;Espigão D'Oeste;0.5508;2611;0.5463;2889;0.6117;2358;0.6081;2445;0.6520;2091;0.5991;3149;0.6107;3179;0.6099;3411;0.5973;3801
110010;Norte;RO;Guajará-Mirim;0.4722;3429;0.4655;3759;0.4564;4403;0.4803;4262;0.5111;4211;0.5188;4253;0.5426;4157;0.5462;4310;0.5541;4405
110011;Norte;RO;Jaru;0.5140;2993;0.5003;3394;0.5540;3173;0.5058;3961;0.5756;3326;0.5761;3484;0.6432;2611;0.6196;3243;0.6450;3042
110012;Norte;RO;Ji-Paraná;0.6386;1446;0.6520;1481;0.6705;1411;0.6721;1400;0.7189;988;0.6758;1822;0.6884;1820;0.7012;1772;0.7117;1779
110013;Norte;RO;Machadinho D'Oeste;0.3955;4255;0.3989;4464;0.4730;4222;0.4521;4589;0.4812;4547;0.4878;4622;0.5046;4606;0.5388;4403;0.5322;4658
110014;Norte;RO;Nova Brasilândia D'Oeste;0.4535;3633;0.4519;3915;0.4104;4880;0.5524;3311;0.5019;4318;0.5147;4302;0.4908;4755;0.5778;3880;0.5857;3968
110015;Norte;RO;Ouro Preto do Oeste;0.4999;3157;0.4774;3619;0.5137;3704;0.5275;3642;0.4908;4441;0.6043;3061;0.6299;2859;0.6474;2750;0.6261;3361
110018;Norte;RO;Pimenta Bueno;0.6307;1560;0.6042;2155;0.6452;1837;0.6355;1968;0.7259;899;0.7108;1254;0.6958;1674;0.7285;1318;0.7383;1285
110020;Norte;RO;Porto Velho;0.6298;1572;0.6694;1251;0.6441;1855;0.6693;1440;0.7331;811;0.7348;931;0.7319;1117;0.7124;1587;0.7257;1533
110025;Norte;RO;Presidente Médici;0.4792;3347;0.4525;3909;0.4951;3964;0.4844;4224;0.5378;3856;0.5451;3923;0.5515;4036;0.5840;3787;0.6140;3551
110026;Norte;RO;Rio Crespo;0.5208;2932;0.5684;2620;0.5983;2580;0.6121;2390;0.5805;3260;0.6127;2936;0.6395;2677;0.6282;3082;0.6430;3089
110028;Norte;RO;Rolim de Moura;0.5179;2955;0.5498;2853;0.5687;2982;0.5905;2716;0.5633;3507;0.5534;3816;0.6185;3054;0.6733;2290;0.6785;2402
110029;Norte;RO;Santa Luzia D'Oeste;0.4994;3160;0.5613;2713;0.5843;2765;0.5575;3224;0.5886;3157;0.6301;2627;0.6666;2175;0.6599;2533;0.6850;2303
110030;Norte;RO;Vilhena;0.7011;727;0.6930;920;0.6793;1265;0.6740;1366;0.7174;1003;0.7550;677;0.7856;454;0.7256;1374;0.7465;1139
110032;Norte;RO;São Miguel do Guaporé;0.4605;3547;0.4915;3486;0.5492;3237;0.5165;3800;0.6091;2836;0.6499;2283;0.5861;3544;0.7110;1616;0.6699;2565
110033;Norte;RO;Nova Mamoré;0.4564;3599;0.4196;4244;0.4564;4402;0.4157;4957;0.4353;5003;0.4129;5262;0.4393;5189;0.4725;5077;0.5084;4874
110034;Norte;RO;Alvorada D'Oeste;0.3897;4322;0.4093;4354;0.3961;5002;0.4657;4445;0.5275;4002;0.5110;4348;0.5527;4019;0.5155;4676;0.5919;3882
110037;Norte;RO;Alto Alegre dos Parecis;0.4769;3375;0.4822;3570;0.4969;3943;0.4931;4123;0.5067;4273;0.5316;4087;0.5193;4433;0.5217;4604;0.5046;4903
110040;Norte;RO;Alto Paraíso;0.5100;3028;0.5376;2984;0.5892;2704;0.5437;3440;0.5667;3463;0.5685;3601;0.6003;3335;0.5886;3718;0.5735;4147
110045;Norte;RO;Buritis;0.4942;3199;0.5040;3350;0.5334;3447;0.5311;3606;0.5849;3212;0.6051;3052;0.6379;2713;0.6300;3049;0.6199;3467
110050;Norte;RO;Novo Horizonte do Oeste;0.4651;3505;0.4864;3531;0.4954;3960;0.4598;4508;0.4967;4383;0.4982;4506;0.5245;4368;0.5365;4444;0.5858;3966
110060;Norte;RO;Cacaulândia;0.4728;3423;0.4762;3633;0.4653;4305;0.4741;4336;0.4416;4951;0.5437;3942;0.5450;4125;0.4788;5017;0.5721;4162
110070;Norte;RO;Campo Novo de Rondônia;0.4210;3985;0.4132;4306;0.4528;4454;0.4172;4938;0.5204;4104;0.4865;4641;0.5544;3996;0.5260;4558;0.5272;4704
110080;Norte;RO;Candeias do Jamari;0.4521;3650;0.4444;3988;0.4844;4096;0.5038;3992;0.5367;3869;0.5399;3988;0.5168;4469;0.5637;4086;0.6199;3466
110090;Norte;RO;Castanheiras;0.4259;3920;0.4575;3864;0.4461;4528;0.3887;5166;0.4545;4832;0.4862;4645;0.5249;4364;0.5681;4019;0.5430;4534
110092;Norte;RO;Chupinguaia;0.5497;2621;0.5928;2314;0.5902;2687;0.5755;2944;0.6683;1799;0.7153;1186;0.7065;1490;0.7401;1125;0.6766;2451
110094;Norte;RO;Cujubim;0.4595;3559;0.4756;3646;0.4999;3899;0.5048;3972;0.5270;4008;0.5552;3790;0.5063;4591;0.5152;4682;0.5055;4895
110100;Norte;RO;Governador Jorge Teixeira;0.4306;3873;0.4404;4041;0.4455;4534;0.4131;4980;0.4916;4430;0.5282;4128;0.4830;4844;0.4665;5116;0.4562;5245
110110;Norte;RO;Itapuã do Oeste;0.5309;2825;NA;NA;0.5239;3582;0.5602;3186;0.5246;4052;0.6038;3076;0.6235;2977;0.6495;2705;0.5903;3905
110120;Norte;RO;Ministro Andreazza;0.4710;3446;0.4951;3451;0.5265;3548;0.5395;3487;0.5660;3471;0.5663;3640;0.5735;3727;0.5431;4355;0.5657;4242
110130;Norte;RO;Mirante da Serra;0.4009;4182;0.4499;3928;0.3780;5144;0.4046;5058;0.4754;4608;0.5159;4290;0.5776;3677;0.5789;3869;0.5519;4429
110140;Norte;RO;Monte Negro;0.4742;3411;0.4734;3675;0.4877;4053;0.4843;4225;0.5176;4135;0.4560;4906;0.5803;3627;0.6217;3200;0.6016;3741
110143;Norte;RO;Nova União;0.4783;3358;0.4775;3617;0.4635;4318;0.5342;3554;0.5562;3630;0.5720;3534;0.6087;3210;0.5721;3963;0.5571;4360
110145;Norte;RO;Parecis;0.4090;4086;0.4625;3803;0.4966;3946;0.4739;4341;0.5430;3784;0.5197;4245;0.5059;4595;0.4504;5212;0.5502;4442
110146;Norte;RO;Pimenteiras do Oeste;0.4684;3466;0.4748;3662;0.5356;3412;0.4852;4213;0.5584;3593;0.5676;3616;0.5678;3812;0.5440;4342;0.6501;2958
110147;Norte;RO;Primavera de Rondônia;0.5407;2730;NA;NA;0.5089;3794;0.5504;3333;0.5377;3858;0.5868;3328;0.5532;4013;0.5434;4352;0.6384;3172
110148;Norte;RO;São Felipe D'Oeste;0.5403;2735;0.4781;3610;0.5199;3641;0.5482;3370;0.5762;3318;0.5838;3369;0.5979;3381;0.6551;2612;0.6153;3533
110149;Norte;RO;São Francisco do Guaporé;0.4406;3768;0.4482;3949;0.4959;3956;0.5303;3613;0.5581;3599;0.4726;4764;0.5723;3747;0.5628;4107;0.6214;3436
110150;Norte;RO;Seringueiras;0.4387;3790;0.4872;3519;0.4839;4103;0.5298;3621;0.5768;3306;0.5328;4074;0.5837;3573;0.6033;3503;0.5922;3877
110155;Norte;RO;Teixeirópolis;0.4438;3737;0.4923;3471;0.5129;3724;0.5560;3251;0.5294;3977;0.5690;3590;0.6383;2706;0.6741;2274;0.6500;2961
110160;Norte;RO;Theobroma;0.3560;4712;0.4112;4337;0.4380;4602;0.4815;4251;0.4414;4955;0.5116;4337;0.5185;4446;0.5409;4384;0.5405;4561
110170;Norte;RO;Urupá;0.4943;3197;0.5067;3320;0.5070;3816;0.5681;3062;0.5859;3197;0.6007;3125;0.5735;3728;0.5882;3722;0.6006;3751
110175;Norte;RO;Vale do Anari;0.4068;4110;0.3950;4510;0.4051;4927;0.4684;4416;0.4507;4874;0.5264;4158;0.5000;4655;0.5422;4362;0.5710;4179
110180;Norte;RO;Vale do Paraíso;0.4760;3388;0.4706;3710;0.4311;4669;0.4842;4227;0.5217;4083;0.5679;3611;0.5592;3927;0.6015;3523;0.5818;4027
120001;Norte;AC;Acrelândia;0.4876;3255;0.4798;3593;0.4806;4138;0.5604;3183;0.5788;3282;0.5998;3137;NA;NA;0.5858;3759;0.6205;3451
120005;Norte;AC;Assis Brasil;0.4655;3499;0.4967;3435;0.4901;4028;0.4632;4469;0.4911;4437;0.4909;4595;0.5182;4453;0.5142;4695;NA;NA
120010;Norte;AC;Brasiléia;0.4009;4183;0.4576;3861;0.5504;3216;0.5270;3650;0.5866;3189;0.5620;3693;0.5825;3593;0.5837;3791;0.5390;4577
120013;Norte;AC;Bujari;0.4504;3670;0.4709;3709;0.5368;3398;0.5108;3882;0.5344;3907;0.5274;4140;0.5857;3547;0.5967;3595;0.6533;2899
120017;Norte;AC;Capixaba;0.3627;4645;0.4475;3957;0.5095;3775;0.4800;4269;0.4948;4399;0.5116;4339;0.5169;4467;0.5118;4721;0.5180;4788
120020;Norte;AC;Cruzeiro do Sul;0.4488;3684;0.4736;3673;0.5424;3319;0.5129;3850;0.5620;3536;0.5159;4289;0.5693;3791;0.5917;3677;0.6136;3557
120025;Norte;AC;Epitaciolândia;0.4259;3922;0.4595;3842;0.4995;3906;0.5254;3678;0.5131;4189;0.5330;4072;0.5199;4426;0.5107;4729;0.5260;4721
120030;Norte;AC;Feijó;0.3751;4492;0.3673;4800;0.4020;4948;0.3722;5253;0.3996;5248;0.4249;5180;0.4689;4962;0.4621;5143;0.4784;5097
120032;Norte;AC;Jordão;NA;NA;NA;NA;NA;NA;0.3789;5215;0.3960;5267;0.3751;5414;0.4195;5305;0.4127;5394;0.4070;5445
