Codigo;Regiao;UF;Municipio;2005_saude_nota;2005_saude_ranking;2006_saude_nota;2006_saude_ranking;2007_saude_nota;2007_saude_ranking;2008_saude_nota;2008_saude_ranking;2009_saude_nota;2009_saude_ranking;2010_saude_nota;2010_saude_ranking;2011_saude_nota;2011_saude_ranking;2012_saude_nota;2012_saude_ranking;2013_saude_nota;2013_saude_ranking
110001;Norte;RO;Alta Floresta D'Oeste;0.5004;3604;0.5412;3520;0.5258;3967;0.5134;4320;0.5115;4489;0.5124;4592;0.5571;4423;0.5759;4470;0.6357;4151
110002;Norte;RO;Ariquemes;0.6664;2215;0.7008;2059;0.7306;1897;0.7453;1884;0.7783;1584;0.8049;1354;0.8277;1181;0.8373;1227;0.8381;1401
110003;Norte;RO;Cabixi;0.6313;2547;0.5681;3310;0.5811;3520;0.6048;3558;0.6552;3138;0.6569;3262;0.6134;3940;0.6419;3878;0.6221;4277
110004;Norte;RO;Cacoal;0.5833;2956;0.6229;2876;0.6642;2679;0.6879;2604;0.6997;2605;0.7147;2576;0.7882;1775;0.8258;1405;0.8265;1586
110005;Norte;RO;Cerejeiras;0.4503;3964;0.4932;3898;0.4636;4442;0.4699;4663;0.4961;4614;0.5722;4125;0.5861;4162;0.5596;4597;0.5671;4692
110006;Norte;RO;Colorado do Oeste;0.5964;2860;0.5082;3798;0.4958;4192;0.5044;4388;0.6077;3646;0.6171;3704;0.6416;3653;0.6306;3980;0.6692;3805
110007;Norte;RO;Corumbiara;0.4461;4000;0.4287;4367;0.4427;4568;0.4666;4683;0.4421;4924;0.5100;4615;0.4863;4901;0.5734;4492;0.6156;4337
110008;Norte;RO;Costa Marques;0.4778;3776;0.4922;3905;0.4872;4274;0.5400;4123;0.5046;4544;0.5721;4126;0.6387;3683;0.7277;2868;0.7055;3382
110009;Norte;RO;Espigão D'Oeste;0.5690;3065;0.6348;2754;0.6872;2409;0.7045;2403;0.6822;2812;0.6404;3470;0.6087;3984;0.6119;4147;0.5948;4504
110010;Norte;RO;Guajará-Mirim;0.4773;3781;0.4098;4487;0.4065;4774;0.4227;4913;0.4556;4859;0.4540;4940;0.4542;5060;0.4709;5075;0.5114;4998
110011;Norte;RO;Jaru;0.4586;3907;0.4528;4203;0.4637;4440;0.4912;4496;0.5288;4343;0.5543;4277;0.5877;4150;0.5929;4326;0.6071;4411
110012;Norte;RO;Ji-Paraná;0.5603;3131;0.6275;2811;0.6722;2593;0.7130;2288;0.7041;2551;0.6608;3218;0.6413;3659;0.6752;3519;0.7447;2839
110013;Norte;RO;Machadinho D'Oeste;0.3610;4626;0.4151;4453;0.4673;4419;0.4592;4725;0.4672;4795;0.4742;4830;0.5378;4566;0.5535;4635;0.5450;4818
110014;Norte;RO;Nova Brasilândia D'Oeste;0.4025;4299;0.4636;4124;0.4936;4213;0.5341;4168;0.4710;4764;0.4654;4874;0.4876;4888;0.5716;4512;0.5997;4473
